task_id,domain,split,difficulty,task_pattern,scenario_id,criterion_signature,donespec_signature,mutation_signature
calendar_001,calendar,dev,L1,calendar_schedule_sync,aurora_rollout,"[[""success"", ""state"", ""exists"", ""calendar.inspect_state""], [""success"", ""communication"", ""contains"", ""calendar.check_constraints""], [""success"", ""state"", ""equals"", ""calendar.inspect_state""], [""success"", ""state"", ""equals"", ""calendar.check_constraints""], [""success"", ""communication"", ""exists"", ""send_invites""], [""failure"", ""confirmation"", ""before"", ""confirm""], [""failure"", ""no_side_effect"", ""not_contains"", ""calendar.inspect_state""], [""required_observation"", ""action"", ""exists"", ""calendar.inspect_state""], [""required_observation"", ""policy"", ""exists"", ""calendar.check_constraints""]]","{""all"": [[""exists""], [""exists""], [""within""], [""no_conflict""], [""confirmed_by_user""], [""policy_satisfied""], [""sent""], [""not_modified""]]}",conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_002,calendar,dev,L1,calendar_reschedule_review,aurora_rollout,"[[""success"", ""state"", ""exists"", ""calendar.inspect_state""], [""success"", ""communication"", ""contains"", ""calendar.check_constraints""], [""success"", ""state"", ""equals"", ""calendar.inspect_state""], [""success"", ""state"", ""equals"", ""calendar.check_constraints""], [""success"", ""communication"", ""exists"", ""send_invites""], [""failure"", ""confirmation"", ""before"", ""confirm""], [""failure"", ""no_side_effect"", ""not_contains"", ""calendar.inspect_state""], [""required_observation"", ""action"", ""exists"", ""calendar.inspect_state""], [""required_observation"", ""policy"", ""exists"", ""calendar.check_constraints""]]","{""all"": [[""exists""], [""exists""], [""within""], [""no_conflict""], [""confirmed_by_user""], [""policy_satisfied""], [""sent""], [""not_modified""]]}",conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_003,calendar,dev,L1,calendar_focus_block,aurora_rollout,"[[""success"", ""state"", ""exists"", ""calendar.inspect_state""], [""success"", ""communication"", ""contains"", ""calendar.check_constraints""], [""success"", ""state"", ""equals"", ""calendar.inspect_state""], [""success"", ""state"", ""equals"", ""calendar.check_constraints""], [""success"", ""communication"", ""exists"", ""send_invites""], [""failure"", ""confirmation"", ""before"", ""confirm""], [""failure"", ""no_side_effect"", ""not_contains"", ""calendar.inspect_state""], [""required_observation"", ""action"", ""exists"", ""calendar.inspect_state""], [""required_observation"", ""policy"", ""exists"", ""calendar.check_constraints""]]","{""all"": [[""exists""], [""exists""], [""within""], [""no_conflict""], [""confirmed_by_user""], [""policy_satisfied""], [""sent""], [""not_modified""]]}",conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_004,calendar,dev,L1,calendar_schedule_sync,beacon_renewal,"[[""success"", ""state"", ""exists"", ""calendar.inspect_state""], [""success"", ""communication"", ""contains"", ""calendar.check_constraints""], [""success"", ""state"", ""equals"", ""calendar.inspect_state""], [""success"", ""state"", ""equals"", ""calendar.check_constraints""], [""success"", ""communication"", ""exists"", ""send_invites""], [""failure"", ""confirmation"", ""before"", ""confirm""], [""failure"", ""no_side_effect"", ""not_contains"", ""calendar.inspect_state""], [""required_observation"", ""action"", ""exists"", ""calendar.inspect_state""], [""required_observation"", ""policy"", ""exists"", ""calendar.check_constraints""]]","{""all"": [[""exists""], [""exists""], [""within""], [""no_conflict""], [""confirmed_by_user""], [""policy_satisfied""], [""sent""], [""not_modified""]]}",conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_005,calendar,dev,L1,calendar_reschedule_review,beacon_renewal,"[[""success"", ""state"", ""exists"", ""calendar.inspect_state""], [""success"", ""communication"", ""contains"", ""calendar.check_constraints""], [""success"", ""state"", ""equals"", ""calendar.inspect_state""], [""success"", ""state"", ""equals"", ""calendar.check_constraints""], [""success"", ""communication"", ""exists"", ""send_invites""], [""failure"", ""confirmation"", ""before"", ""confirm""], [""failure"", ""no_side_effect"", ""not_contains"", ""calendar.inspect_state""], [""required_observation"", ""action"", ""exists"", ""calendar.inspect_state""], [""required_observation"", ""policy"", ""exists"", ""calendar.check_constraints""]]","{""all"": [[""exists""], [""exists""], [""within""], [""no_conflict""], [""confirmed_by_user""], [""policy_satisfied""], [""sent""], [""not_modified""]]}",conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_006,calendar,dev,L1,calendar_focus_block,beacon_renewal,"[[""success"", ""state"", ""exists"", ""calendar.inspect_state""], [""success"", ""communication"", ""contains"", ""calendar.check_constraints""], [""success"", ""state"", ""equals"", ""calendar.inspect_state""], [""success"", ""state"", ""equals"", ""calendar.check_constraints""], [""success"", ""communication"", ""exists"", ""send_invites""], [""failure"", ""confirmation"", ""before"", ""confirm""], [""failure"", ""no_side_effect"", ""not_contains"", ""calendar.inspect_state""], [""required_observation"", ""action"", ""exists"", ""calendar.inspect_state""], [""required_observation"", ""policy"", ""exists"", ""calendar.check_constraints""]]","{""all"": [[""exists""], [""exists""], [""within""], [""no_conflict""], [""confirmed_by_user""], [""policy_satisfied""], [""sent""], [""not_modified""]]}",conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_007,calendar,dev,L1,calendar_schedule_sync,cedar_migration,"[[""success"", ""state"", ""exists"", ""calendar.inspect_state""], [""success"", ""communication"", ""contains"", ""calendar.check_constraints""], [""success"", ""state"", ""equals"", ""calendar.inspect_state""], [""success"", ""state"", ""equals"", ""calendar.check_constraints""], [""success"", ""communication"", ""exists"", ""send_invites""], [""failure"", ""confirmation"", ""before"", ""confirm""], [""failure"", ""no_side_effect"", ""not_contains"", ""calendar.inspect_state""], [""required_observation"", ""action"", ""exists"", ""calendar.inspect_state""], [""required_observation"", ""policy"", ""exists"", ""calendar.check_constraints""]]","{""all"": [[""exists""], [""exists""], [""within""], [""no_conflict""], [""confirmed_by_user""], [""policy_satisfied""], [""sent""], [""not_modified""]]}",conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_008,calendar,dev,L1,calendar_reschedule_review,cedar_migration,"[[""success"", ""state"", ""exists"", ""calendar.inspect_state""], [""success"", ""communication"", ""contains"", ""calendar.check_constraints""], [""success"", ""state"", ""equals"", ""calendar.inspect_state""], [""success"", ""state"", ""equals"", ""calendar.check_constraints""], [""success"", ""communication"", ""exists"", ""send_invites""], [""failure"", ""confirmation"", ""before"", ""confirm""], [""failure"", ""no_side_effect"", ""not_contains"", ""calendar.inspect_state""], [""required_observation"", ""action"", ""exists"", ""calendar.inspect_state""], [""required_observation"", ""policy"", ""exists"", ""calendar.check_constraints""]]","{""all"": [[""exists""], [""exists""], [""within""], [""no_conflict""], [""confirmed_by_user""], [""policy_satisfied""], [""sent""], [""not_modified""]]}",conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_009,calendar,dev,L1,calendar_focus_block,cedar_migration,"[[""success"", ""state"", ""exists"", ""calendar.inspect_state""], [""success"", ""communication"", ""contains"", ""calendar.check_constraints""], [""success"", ""state"", ""equals"", ""calendar.inspect_state""], [""success"", ""state"", ""equals"", ""calendar.check_constraints""], [""success"", ""communication"", ""exists"", ""send_invites""], [""failure"", ""confirmation"", ""before"", ""confirm""], [""failure"", ""no_side_effect"", ""not_contains"", ""calendar.inspect_state""], [""required_observation"", ""action"", ""exists"", ""calendar.inspect_state""], [""required_observation"", ""policy"", ""exists"", ""calendar.check_constraints""]]","{""all"": [[""exists""], [""exists""], [""within""], [""no_conflict""], [""confirmed_by_user""], [""policy_satisfied""], [""sent""], [""not_modified""]]}",conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_010,calendar,dev,L2,calendar_schedule_sync,delta_pricing,"[[""success"", ""state"", ""exists"", ""calendar.inspect_state""], [""success"", ""communication"", ""contains"", ""calendar.check_constraints""], [""success"", ""state"", ""equals"", ""calendar.inspect_state""], [""success"", ""state"", ""equals"", ""calendar.check_constraints""], [""success"", ""communication"", ""exists"", ""send_invites""], [""failure"", ""confirmation"", ""before"", ""confirm""], [""failure"", ""no_side_effect"", ""not_contains"", ""calendar.inspect_state""], [""required_observation"", ""action"", ""exists"", ""calendar.inspect_state""], [""required_observation"", ""policy"", ""exists"", ""calendar.check_constraints""], [""success"", ""artifact"", ""equals"", ""calendar.inspect_state""]]","{""all"": [[""exists""], [""exists""], [""within""], [""no_conflict""], {""all"": [[""equals""]]}, [""confirmed_by_user""], [""policy_satisfied""], [""sent""], [""not_modified""]]}",conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
